년,월,상품소매가격,중품소매가격,전체소매가격
2016,1월,4064,4064,4064
2016,2월,4091,4091,4091
2016,3월,4409,4409,4409
2016,4월,4362,4362,4362
2016,5월,4597,4597,4597
2016,6월,4703,4703,4703
2016,7월,4813,4813,4813
2016,8월,4948,4948,4948
2016,9월,4446,4446,4446
2016,10월,4378,4378,4378
2016,11월,4437,4437,4437
2016,12월,4512,4512,4512
2016,연평균,4489,4489,4489
2017,1월,4316,4316,4316
2017,2월,4288,4288,4288
2017,3월,4376,4376,4376
2017,4월,4487,4487,4487
2017,5월,4680,4680,4680
2017,6월,4762,4762,4762
2017,7월,5101,5101,5101
2017,8월,5558,5558,5558
2017,9월,5046,5046,5046
2017,10월,4509,4509,4509
2017,11월,4469,4469,4469
2017,12월,4443,4443,4443
2017,연평균,4680,4680,4680
2018,1월,4750,4750,4750
2018,2월,5130,5130,5130
2018,3월,5252,5252,5252
2018,4월,5506,5506,5506
2018,5월,6090,6090,6090
2018,6월,6332,6332,6332
2018,7월,6597,6597,6597
2018,8월,6430,6430,6430
2018,9월,5874,5874,5874
2018,10월,5566,5566,5566
2018,11월,5220,5220,5220
2018,12월,5441,5441,5441
2018,연평균,5682,5682,5682
2019,1월,5326,5326,5326
2019,2월,5446,5446,5446
2019,3월,5244,5244,5244
2019,4월,5450,5450,5450
2019,5월,5536,5536,5536
2019,6월,5372,5372,5372
2019,7월,5231,5231,5231
2019,8월,5264,5264,5264
2019,9월,4833,4833,4833
2019,10월,4475,4475,4475
2019,11월,4202,4202,4202
2019,12월,4134,4134,4134
2019,연평균,5042,5042,5042
2020,1월,4188,4188,4188
2020,2월,4136,4136,4136
2020,3월,4618,4618,4618
2020,4월,5097,5097,5097
2020,5월,6149,6149,6149
2020,6월,6952,6952,6952
2020,7월,7487,7487,7487
2020,8월,7891,7891,7891
2020,9월,6391,6391,6391
2020,10월,5707,5707,5707
2020,11월,5678,5678,5678
2020,12월,5797,5797,5797
2020,연평균,5861,5861,5861
2021,1월,6198,6198,6198
2021,2월,6441,6441,6441
2021,3월,6592,6592,6592
2021,4월,6816,6816,6816
2021,5월,6992,6992,6992
2021,6월,6951,6951,6951
2021,7월,6989,6989,6989
2021,8월,6258,6258,6258
2021,9월,5996,5996,5996
2021,10월,5622,5622,5622
2021,11월,5411,5411,5411
2021,12월,5295,5295,5295
2021,연평균,6299,6299,6299
