연월일,검색량
2016-01-01,53.18824
2016-02-01,42.71791
2016-03-01,41.25167
2016-04-01,31.1562
2016-05-01,29.15403
2016-06-01,27.19969
2016-07-01,25.34915
2016-08-01,32.77993
2016-09-01,38.9843
2016-10-01,51.36048
2016-11-01,39.53943
2016-12-01,34.44402
2017-01-01,38.4975
2017-02-01,35.10848
2017-03-01,36.5526
2017-04-01,30.1159
2017-05-01,26.36081
2017-06-01,26.62178
2017-07-01,24.49042
2017-08-01,40.95719
2017-09-01,47.21068
2017-10-01,52.28819
2017-11-01,46.93312
2017-12-01,41.4352
2018-01-01,53.85141
2018-02-01,38.01136
2018-03-01,42.1579
2018-04-01,40.89015
2018-05-01,41.9516
2018-06-01,36.22037
2018-07-01,39.35688
2018-08-01,48.24415
2018-09-01,61.47255
2018-10-01,76.19844
2018-11-01,57.11873
2018-12-01,47.64151
2019-01-01,52.03829
2019-02-01,38.11711
2019-03-01,46.07602
2019-04-01,40.19706
2019-05-01,34.94286
2019-06-01,33.23679
2019-07-01,32.86324
2019-08-01,39.97741
2019-09-01,50.29188
2019-10-01,69.99375
2019-11-01,55.26135
2019-12-01,51.19648
2020-01-01,49.27891
2020-02-01,68.97916
2020-03-01,88.85772
2020-04-01,89.08745
2020-05-01,87.36642
2020-06-01,64.71384
2020-07-01,57.69826
2020-08-01,71.07797
2020-09-01,89.9478
2020-10-01,100
2020-11-01,72.79575
2020-12-01,87.80571
