연도,월별,고구마검색량
2016,1월,100
2016,2월,80.31458
2016,3월,77.55787
2016,4월,58.57723
2016,5월,54.81291
2016,6월,51.13853
2016,7월,47.6593
2016,8월,61.63004
2016,9월,73.29495
2016,10월,96.5636
2016,11월,74.33865
2016,12월,64.75871
2017,1월,73.62561
2017,2월,67.14419
2017,3월,69.90603
2017,4월,57.59599
2017,5월,50.41446
2017,6월,50.91356
2017,7월,46.83738
2017,8월,78.3297
2017,9월,90.28937
2017,10월,100
2017,11월,89.75854
2017,12월,79.24388
2018,1월,70.67258
2018,2월,49.88469
2018,3월,55.32647
2018,4월,53.66272
2018,5월,55.05572
2018,6월,47.53426
2018,7월,51.65051
2018,8월,63.31383
2018,9월,80.67429
2018,10월,100
2018,11월,74.96049
2018,12월,62.52295
2019,1월,74.34705
2019,2월,54.45788
2019,3월,65.82876
2019,4월,57.42949
2019,5월,49.92282
2019,6월,47.48537
2019,7월,46.95167
2019,8월,57.11569
2019,9월,71.85195
2019,10월,100
2019,11월,78.95184
2019,12월,73.14436
2020,1월,49.27891
2020,2월,68.97916
2020,3월,88.85772
2020,4월,89.08745
2020,5월,87.36642
2020,6월,64.71384
2020,7월,57.69826
2020,8월,71.07797
2020,9월,89.9478
2020,10월,100
2020,11월,72.79575
2020,12월,87.80571
2021,1월,97.9691
2021,2월,59.6483
2021,3월,66.97045
2021,4월,55.33539
2021,5월,58.21341
2021,6월,63.44489
2021,7월,41.73471
2021,8월,63.51669
2021,9월,73.16173
2021,10월,100
2021,11월,64.58023
2021,12월,58.63629
