년도,월,검색량,전국,대전,세종,충청남도,전라남도,전라북도,의정부 ,수원,경기도
2016,1월,53,4064,3972,3972,3972,4510,3824,4592,3680,4136
2016,2월,43,4091,4277,4277,4277,4511,3664,4259,3747,4003
2016,3월,41,4409,4489,4489,4489,5547,3803,5547,3960,4754
2016,4월,31,4362,4419,4419,4419,5070,4123,5070,4065,4568
2016,5월,29,4597,4752,4752,4752,5554,3958,5554,4065,4810
2016,6월,27,4703,4823,4823,4823,5570,4272,5570,4179,4875
2016,7월,25,4813,5152,5152,5152,5233,4162,5247,4745,4996
2016,8월,33,4948,5294,5294,5294,4987,4214,5343,4389,4866
2016,9월,39,4446,4741,4741,4741,3931,3635,5382,4095,4739
2016,10월,51,4378,4505,4505,4505,5629,3784,3835,3972,3904
2016,11월,40,4437,4460,5074,4767,4769,3826,5418,3709,4564
2016,12월,34,4512,4187,3615,3901,5300,3772,6600,4079,5340
2017,1월,38,4316,4173,4137,4155,4605,3902,5210,3845,4528
2017,2월,35,4288,4525,3493,4009,4425,3723,4850,3863,4357
2017,3월,37,4376,4668,3178,3923,4495,3854,4990,3879,4435
2017,4월,30,4487,4846,4028,4437,4770,3839,5540,3865,4703
2017,5월,26,4680,5007,3917,4462,4917,3821,5776,3733,4755
2017,6월,27,4762,4818,4160,4489,5290,4008,6660,4151,5406
2017,7월,24,5101,5111,6743,5927,5348,3843,6660,4447,5554
2017,8월,41,5558,6108,6113,6111,5222,4573,6205,5150,5678
2017,9월,47,5046,4825,5384,5105,5012,4394,6023,5150,5587
2017,10월,52,4509,4261,3394,3828,4559,3676,6253,4190,5222
2017,11월,47,4469,4132,3491,3812,4583,3401,5990,3860,4925
2017,12월,41,4443,4099,4029,4064,4588,3460,5990,3916,4953
2018,1월,54,4750,4635,3997,4316,4858,4217,6104,4355,5230
2018,2월,38,5130,5122,4029,4576,5396,4330,6490,4608,5549
2018,3월,42,5252,5127,3918,4523,5605,4224,6490,4712,5601
2018,4월,41,5506,5297,4553,4925,6085,4222,7307,5210,6259
2018,5월,42,6090,6848,5443,6146,6428,4503,7840,5698,6769
2018,6월,36,6332,6391,5692,6042,6561,4682,8105,5910,7008
2018,7월,39,6597,6455,7097,6776,7376,4695,9329,5942,7636
2018,8월,48,6430,6293,5311,5802,6452,5127,6924,7249,7087
2018,9월,61,5874,5778,3932,4855,6042,4665,7255,6084,6670
2018,10월,76,5566,5533,3978,4756,5304,4548,6490,5786,6138
2018,11월,57,5220,5239,5099,5169,4659,4582,4776,5025,4901
2018,12월,48,5441,5841,4201,5021,4786,4830,4743,5400,5072
2019,1월,52,5326,5344,4315,4830,4907,4985,5013,5332,5173
2019,2월,38,5446,5282,4088,4685,5400,4920,5971,5482,5727
2019,3월,46,5244,5156,5214,5185,5088,5094,5325,5500,5413
2019,4월,40,5450,5314,4938,5126,5369,5094,5945,5180,5563
2019,5월,35,5536,5528,5080,5304,5176,4972,5990,5141,5566
2019,6월,33,5372,4898,4884,4891,5316,4772,5411,5518,5465
2019,7월,33,5231,4934,4791,4863,4963,4954,5207,5380,5294
2019,8월,40,5264,4660,5124,4892,5245,4986,6217,5343,5780
2019,9월,50,4833,4287,4145,4216,5044,4389,6242,4915,5579
2019,10월,70,4475,3844,3648,3746,4385,4003,4597,4534,4566
2019,11월,55,4202,3706,3794,3750,4090,3926,4261,4415,4338
2019,12월,51,4134,4010,3696,3853,3927,4071,4058,4295,4177
2020,1월,49,4188,4413,3907,4160,3842,4091,4041,4225,4133
2020,2월,69,4136,4174,3688,3931,3934,4108,4009,4285,4147
2020,3월,89,4618,4465,3808,4137,4885,4468,5147,4523,4835
2020,4월,89,5097,4651,4297,4474,5286,4713,5686,5078,5382
2020,5월,87,6149,5737,6343,6040,6237,6221,6477,6308,6393
2020,6월,65,6952,6746,6910,6828,7117,6866,7270,7951,7611
2020,7월,58,7487,7394,7472,7433,7712,7050,8080,8713,8397
2020,8월,71,7891,7338,7501,7420,8040,7097,8915,7827,8371
2020,9월,90,6391,5899,5321,5610,6282,5775,7119,6220,6670
2020,10월,100,5707,5539,5348,5444,5348,4944,5593,5240,5417
2020,11월,73,5678,6000,5949,5975,5205,5025,5739,5065,5402
2020,12월,88,5797,5446,5370,5408,5426,5173,6054,5132,5593
