연도,시도,종류,면적,단수,생산량
2016,계,고구마,"23,151","1,474","341,225"
2016,서울특별시,고구마,6,"1,392",84
2016,부산광역시,고구마,50,877,439
2016,대구광역시,고구마,77,"1,030",793
2016,인천광역시,고구마,833,"1,691","14,086"
2016,광주광역시,고구마,82,"1,914","1,569"
2016,대전광역시,고구마,82,"1,370","1,123"
2016,울산광역시,고구마,94,"1,505","1,415"
2016,세종특별자치시,고구마,106,"1,331","1,411"
2016,경기도,고구마,"3,827","1,392","53,272"
2016,강원도,고구마,437,"2,529","11,052"
2016,충청북도,고구마,"1,696","1,532","25,983"
2016,충청남도,고구마,"3,507","1,288","45,170"
2016,전라북도,고구마,"3,805","1,613","61,375"
2016,전라남도,고구마,"5,391","1,546","83,345"
2016,경상북도,고구마,"1,711","1,307","22,363"
2016,경상남도,고구마,"1,242","1,182","14,680"
2016,제주도,고구마,205,"1,495","3,065"
2017,계,고구마,"21,684","1,499","324,960"
2017,서울특별시,고구마,9,"1,210",110
2017,부산광역시,고구마,54,949,516
2017,대구광역시,고구마,78,993,777
2017,인천광역시,고구마,826,"1,536","12,688"
2017,광주광역시,고구마,91,"1,613","1,475"
2017,대전광역시,고구마,56,"1,466",818
2017,울산광역시,고구마,111,"1,828","2,025"
2017,세종특별자치시,고구마,89,"1,163","1,039"
2017,경기도,고구마,"3,881","1,210","46,966"
2017,강원도,고구마,519,"1,511","7,842"
2017,충청북도,고구마,"1,571","1,506","23,664"
2017,충청남도,고구마,"3,285","1,242","40,797"
2017,전라북도,고구마,"3,537","1,814","64,159"
2017,전라남도,고구마,"4,884","1,775","86,685"
2017,경상북도,고구마,"1,380","1,272","17,554"
2017,경상남도,고구마,"1,156","1,288","14,893"
2017,제주도,고구마,155,"1,900","2,952"
2018,계,고구마,"20,948","1,457","305,304"
2018,서울특별시,고구마,6,"1,312",78
2018,부산광역시,고구마,46,"2,379","1,098"
2018,대구광역시,고구마,58,940,541
2018,인천광역시,고구마,680,"1,054","7,165"
2018,광주광역시,고구마,85,"1,580","1,348"
2018,대전광역시,고구마,44,"1,435",629
2018,울산광역시,고구마,119,563,670
2018,세종특별자치시,고구마,70,"1,146",797
2018,경기도,고구마,"3,712","1,312","48,705"
2018,강원도,고구마,466,"1,554","7,240"
2018,충청북도,고구마,"1,515","1,251","18,951"
2018,충청남도,고구마,"2,965","1,180","34,984"
2018,전라북도,고구마,"3,459","1,615","55,861"
2018,전라남도,고구마,"5,114","1,855","94,862"
2018,경상북도,고구마,"1,414","1,277","18,056"
2018,경상남도,고구마,"1,100","1,176","12,933"
2018,제주도,고구마,97,"1,430","1,385"
2019,계,고구마,"21,941","1,679","368,324"
2019,서울특별시,고구마,7,"1,455",106
2019,부산광역시,고구마,56,687,387
2019,대구광역시,고구마,56,636,357
2019,인천광역시,고구마,744,"1,501","11,163"
2019,광주광역시,고구마,72,"1,230",883
2019,대전광역시,고구마,62,"1,454",902
2019,울산광역시,고구마,107,563,604
2019,세종특별자치시,고구마,61,945,580
2019,경기도,고구마,"3,714","1,455","54,035"
