,날짜,고구마가격,오이가격,평균기온,최고기온,최저기온,강수량,일조시간,일사량,습도,거래량(톤),고급휘발유,보통휘발유,자동차용경유,소비자물가,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가
0,2017.1.2,4442,8907,5.974375,11.465,1.304375,0.575,4.38,6.568666667,76.789375,2.1,1817.61,1487.92,1281.55,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
1,2017.1.3,4463,9011,4.11625,9.984375,-0.219375,0.5,8.215625,9.433333333,64.7675,23.76,1825.89,1492.17,1285.44,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
2,2017.1.4,4461,9101,4.47375,10.685,-0.17625,0.5,6.87625,8.030666667,66.34875,21.79,1828.94,1495.37,1288.66,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
3,2017.1.5,4430,10296,4.88875,9.02625,0.30375,18.61428571,1.143333333,4.212,71.096875,20.99,1831.73,1497.7,1290.76,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
4,2017.1.6,4423,10374,5.891875,11.055625,2.035,3.16,5.939375,8.042,68.124375,15.3575,1833.63,1499.65,1292.58,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
5,2017.1.9,4395,10456,4.451875,7.88625,-0.056875,2.642857143,6.20875,7.51,61.169375,17.6,1837.71,1503.96,1296.5,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
6,2017.1.10,4398,10437,0.5075,4.66625,-2.553125,0.2,7.14125,8.492,52.900625,20.39,1837.94,1505.91,1298.42,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
7,2017.1.11,4338,10450,-1.435,2.921875,-5.694375,0.95,7.74,9.426,47.409375,18.4675,1839.7,1507.16,1299.82,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
8,2017.1.12,4193,10482,0.8675,5.76625,-3.16625,0.988888889,5.279375,7.151333333,57.186875,19.79,1839.95,1508.2,1300.7,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
9,2017.1.13,4196,10427,-1.915,2.895,-5.301875,2.058333333,5.174375,6.958,53.933125,21.0475,1840.45,1509.01,1301.58,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
10,2017.1.16,4270,10500,-2.404375,4.55,-7.81625,4,8.434375,10.572,49.608125,25.545,1840.7,1511.05,1303.38,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
11,2017.1.17,4270,10502,-0.8225,5.886875,-6.605,0.1,6.218125,8.014,54.309375,24.155,1842.05,1511.69,1303.96,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
12,2017.1.18,4257,10459,1.034375,5.86,-3.27375,0,4.083125,6.687333333,61.3175,23.98,1843.2,1512.3,1304.57,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
13,2017.1.19,4277,10543,0.751875,6.925,-3.8075,0.6,7.1425,8.714666667,65.05,23.79,1842.13,1512.71,1304.91,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
14,2017.1.20,4284,10462,-1.4775,1.49125,-5.02,13.46428571,4.25,6.05,68.01625,23.045,1841.61,1513.06,1305.33,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
15,2017.1.23,4280,10480,-5.518125,-0.98125,-9.344375,10.825,8.178125,10.31733333,55.28375,24.2675,1841.88,1514.03,1306.04,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
16,2017.1.24,4258,10605,-4.215625,1.565625,-9.185625,7.4,8.57875,11.34866667,54.536875,22.415,1842.67,1514.43,1306.38,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
17,2017.1.25,4258,10578,-3.1025,3.4875,-8.791875,0,8.9825,11.94066667,55.028125,22.9375,1842.6,1514.77,1306.65,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
18,2017.1.26,4204,11451,-0.131875,6.9125,-7.95625,2.375,7.709375,10.80933333,55.895,24.9525,1843.4,1515.4,1307.01,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
19,2017.1.31,4224,11630,-2.41875,3.755,-7.860625,0.9,8.04125,11.09733333,55.39125,21.9,1840.61,1516.5,1307.99,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
20,2017.2.1,4239,11540,-1.741875,4.16,-4.788125,0.2,7.2925,11.05066667,46.705,35.2875,1842.49,1516.7,1308.18,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
21,2017.2.2,4251,10804,-0.40125,6.1375,-6.82375,0,9.5425,13.668,45.821875,35.0375,1843.99,1516.87,1308.23,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
22,2017.2.3,4251,10572,2.435625,8.6625,-2.9775,0,7.910625,11.336,58.074375,44.25333333,1843.54,1516.95,1308.28,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
23,2017.2.6,4295,10117,0.9625,4.788125,-2.109375,17.95,8.96,12.51133333,51.6825,46.90333333,1844.67,1517.18,1308.39,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
24,2017.2.7,4295,10092,0.50125,6.32,-3.949375,0,5.688125,10.16333333,54.61,45.15,1843.89,1517.29,1308.36,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
25,2017.2.8,4308,10081,1.1025,5.285,-2.854375,1.95,1.455333333,6.471333333,57.271875,49.85,1842.91,1517.31,1308.42,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
26,2017.2.9,4252,8285,-2.030625,1.419375,-4.82375,2.814285714,7.1625,10.85866667,51.45,37.84,1843.48,1517.2,1308.22,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
27,2017.2.10,4252,8185,-3.89,-0.394375,-6.428125,15.58571429,7.99625,11.57266667,51.92625,38.36333333,1843.4,1517.09,1308.21,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
28,2017.2.13,4252,8211,1.47125,7.49125,-5.068125,2.242857143,7.928125,11.744,60.69375,42.46333333,1841.2,1517.02,1308.03,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
29,2017.2.14,4252,8225,1.9925,7.7825,-2.47375,1.95,9.515,14.32333333,57.08125,38.90333333,1839.79,1516.94,1307.85,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
30,2017.2.15,4203,8258,2.968125,10.85375,-4.171875,0,9.48125,13.626,52.235625,38.62333333,1840.39,1516.79,1307.68,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
31,2017.2.16,4301,8213,7.6475,14.31875,-1.565625,7.4,6.465,10.58266667,64.4075,38.31,1842.18,1516.79,1307.67,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
32,2017.2.17,4292,8205,5.79625,12.186875,-0.693125,8.88,7.8475,12.73133333,58.119375,37.66333333,1841.81,1516.69,1307.58,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
33,2017.2.20,4303,8294,3.19,9.799375,-2.709375,24.475,7.26125,12.80266667,59.925,42.38,1842.62,1516.55,1307.26,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
34,2017.2.21,4336,8351,1.356875,8.263125,-5.52125,0,9.83875,15.11533333,51.848125,39.36333333,1842.69,1516.54,1307.23,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
35,2017.2.22,4343,8351,4.1025,6.13,1.095,77.3875,0.3125,1.686666667,83.016875,39.59666667,1842.88,1516.4,1306.97,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
36,2017.2.23,4318,7886,1.48625,5.114375,-1.870625,6.7,7.451875,13.32666667,57.845,40.35333333,1843.39,1516.29,1306.83,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
37,2017.2.24,4323,7771,0.838125,6.031875,-4.17625,0.2,9.7975,16.19466667,49.181875,40.32333333,1842.84,1516.11,1306.76,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
38,2017.2.27,4341,7757,4.153125,11.084375,-1.45625,1.6,8.963125,15.124,58.99875,44.93666667,1842.49,1515.58,1306.08,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
39,2017.2.28,4347,7757,5.501875,12.960625,-1.33125,0.1,10.03125,15.98,52.894375,41.89333333,1843.32,1515.39,1305.87,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
40,2017.3.2,4284,7838,3.27875,7.1825,-0.215,9.093333333,6.36125,12.25066667,66.3,43.11333333,1842.81,1514.91,1305.23,2.3,6.6,2.3,1.8,1,2.7,1.5,2.9
