,날짜,고구마가격,오이가격,평균기온,최고기온,최저기온,강수량,일조시간,일사량,습도,거래량(톤),고급휘발유,보통휘발유,자동차용경유,소비자물가,농축수산물,공업제품,집세,공공서비스,개인서비스,근원물가,생활물가
2,2022.1.3,5372,11880,-0.413125,5.47375,-6.16625,0.15,8.19,10.84533333,57.579375,52.77,1858.95,1623.03,1441.82,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
3,2022.1.4,5384,11845,0.713125,5.50375,-3.643125,0.6,8.1475,10.664,50.844375,39.37,1858.55,1622.32,1440.91,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
4,2022.1.5,5429,11830,-0.0125,4.358125,-4.745625,13.86,1.488571429,5.174666667,55.71,34.43,1858.76,1621.79,1440.23,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
5,2022.1.6,5466,11943,0.9575,6.548125,-3.44,5,8.555,11.354,51.208125,24.42,1858.55,1621.22,1439.42,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
6,2022.1.7,5442,11910,-0.3225,7.01125,-5.874375,0,8.65625,11.54466667,53.015,22.89,1859.42,1620.98,1439.13,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
9,2022.1.10,5480,11880,2.09125,7.859375,-3.278125,1.6125,5.560625,8.689333333,68.27625,24.23,1860.01,1621.45,1439.54,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
10,2022.1.11,5500,11920,-2.644375,2.52,-6.34625,2.718181818,7.2025,10.14,55.423125,21.46,1861.18,1621.56,1439.59,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
11,2022.1.12,5529,11920,-4.081875,0.63875,-8.54125,4.2,7.955,11.084,50.4625,21.46,1861.28,1622.04,1439.93,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
12,2022.1.13,5447,11887,0,0,0,0,0,0,0,21.95,1862.15,1623.2,1441.22,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
13,2022.1.14,5507,11914,-3.0825,3.04875,-8.360625,1,8.369375,11.91933333,46.353125,21.92,1863.09,1624.78,1442.77,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
16,2022.1.17,5422,12079,-1.87125,2.911875,-6.03,1.222222222,5.5,9.163333333,55.393125,25.06,1865.8,1629.3,1447.28,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
17,2022.1.18,5397,12114,-3.2925,2.1925,-8.004375,2.6,8.945625,12.68466667,44.55,23,1867.75,1631.44,1449.5,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
18,2022.1.19,5398,12255,-2.04625,3.780625,-7.551875,3.82,5.816666667,8.462666667,59.2025,30.52,1869.27,1634.23,1452.22,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
19,2022.1.20,5425,11845,-2.80125,3.49125,-7.770625,6.75,8.611875,12.17066667,59.214375,30.81,1872.99,1637.65,1455.85,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
20,2022.1.21,5430,11780,-1.183125,6.360625,-7.6775,0.2,8.30125,12.41933333,59.30125,30.4,1876.03,1641.46,1459.98,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
23,2022.1.24,5411,11849,4.663125,8.434375,0.43,3.833333333,2.967333333,7.586666667,63.199375,33.73,1880.45,1648.45,1466.92,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
24,2022.1.25,5445,11869,4.06625,6.335625,1.75,2.881818182,0.461818182,3.056666667,75.925625,30.76,1883.09,1650.81,1469.52,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
25,2022.1.26,5415,12022,2.959375,7.48375,-0.43125,0.3,6.954375,10.58133333,61.630625,30.96,1885.18,1653.39,1472.22,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
26,2022.1.27,5384,12670,1.549375,6.97375,-2.456875,0.3,8.235,11.76466667,53.3075,31.37,1888.26,1656.26,1475.31,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
27,2022.1.28,5298,12885,0.27875,5.298125,-3.48625,5,8.395625,13.052,48.1,31.68,1890.44,1659.44,1478.31,3.6,6.3,4.2,2.1,0.9,3.9,3,4.1
33,2022.2.3,5271,12755,-0.833125,4.068125,-4.765,0.1,9.00125,14.41866667,47.745625,31.25,1899.31,1671.13,1489.71,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
34,2022.2.4,5271,12849,-1.896875,3.0325,-5.615,1.566666667,7.780625,12.56733333,51.198125,57.7,1903.52,1674.67,1493.54,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
37,2022.2.7,5200,12462,-0.970625,3.193125,-5.90125,2.6,4.384375,9.105333333,47.84,65.09,1911.83,1686.54,1505.56,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
38,2022.2.8,5200,12193,0.6325,6.665625,-4.393125,0,8.133125,13.77866667,49.8775,55.66,1915.41,1691.81,1511.18,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
39,2022.2.9,5223,12106,1.775,8.44875,-4.903125,5.55,7.934375,12.68933333,55.114375,49.8,1923.64,1697.01,1516.69,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
40,2022.2.10,5179,11619,3.229375,8.978125,-1.05,7.45,8.850625,14.39266667,51.478125,46.39,1927.57,1700.89,1521.1,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
41,2022.2.11,4956,11480,3.0775,10.348125,-3.425,0.1,9.283125,14.632,52.514375,44.37,1929.34,1704.32,1524.75,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
44,2022.2.14,4974,11281,4.6825,11.0825,-0.176875,4.933333333,5.09375,11.95733333,66.115625,37.57,1934.72,1714.12,1535.33,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
45,2022.2.15,4976,11316,-1.246875,2.799375,-4.876875,0.925,5.96125,11.98866667,54.986875,35.84,1938.18,1718.64,1540.24,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
46,2022.2.16,4984,11328,-4.355,-0.718125,-6.81625,4.5,7.378125,13.57266667,53.55375,37.15,1942.47,1722.69,1545.08,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
47,2022.2.17,5066,11370,-4.675625,0.389375,-8.953125,3.55,9.20625,15.73466667,45.14875,38.47,1944.94,1726.09,1549.04,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
48,2022.2.18,5103,11235,-0.311875,7.150625,-8.240625,5.5,8.71,15.68066667,48.723125,38.7,1948.02,1729.39,1552.79,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
51,2022.2.21,5079,11122,-0.505,5.5525,-6.785625,0.885714286,7.878125,14.09933333,52.226875,42.87,1953.51,1736.48,1560.65,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
52,2022.2.22,5407,10980,-1.454375,2.938125,-5.0825,1.34,9.12625,16.12933333,43.32125,38.09,1955.69,1739.36,1563.99,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
53,2022.2.23,5391,10952,-3.099375,1.928125,-7.085625,2.75,8.4425,15.888,40.12375,37.36,1958.38,1743.05,1568.31,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
54,2022.2.24,5336,10150,-0.965,5.395,-7.689375,0.1,9.46625,16.97933333,45.74375,36.93,1960.22,1746.2,1572.03,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
55,2022.2.25,5392,9899,3.23875,10.053125,-3.938125,0,8.884375,15.80466667,59.4875,35.99,1963.42,1750.84,1577.05,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
58,2022.2.28,5236,9848,6.435,13.42625,-0.766875,0,6.473125,13.306,50.47875,40.73,1970.54,1758.87,1585.96,3.7,1.6,5.2,2.1,0.9,4.3,3.2,4.1
60,2022.3.2,5222,8952,4.255,10.280625,-1.390625,0.1,10.330625,19.236,53.283125,27.95,1980.57,1767.09,1594.81,4.1,0.4,6.9,2,0.6,4.4,3.3,5
61,2022.3.3,5337,9363,6.099375,13.035625,-0.23875,0,9.996875,18.36,55.620625,28.31,1987.1,1774.18,1602.22,4.1,0.4,6.9,2,0.6,4.4,3.3,5
62,2022.3.4,5345,9373,8.300625,15.620625,0.538125,1.2,6.186875,13.932,59.44375,28.64,2001.17,1786.04,1615.37,4.1,0.4,6.9,2,0.6,4.4,3.3,5
65,2022.3.7,5349,9388,3.78625,10.51,-2.266875,0,8.450625,16.18266667,47.426875,34.34,2033.12,1828.34,1665.13,4.1,0.4,6.9,2,0.6,4.4,3.3,5
66,2022.3.8,5349,9339,6.12625,13.680625,-0.813125,0.7,9.7325,18.25,52.7025,32.09,2070.15,1860.61,1706.45,4.1,0.4,6.9,2,0.6,4.4,3.3,5
68,2022.3.10,5251,9654,9.1725,16.895625,1.565,0,8.176875,16.04866667,56.311875,33.75,2121.7,1913.73,1781.84,4.1,0.4,6.9,2,0.6,4.4,3.3,5
69,2022.3.11,5230,9609,11.69375,18.42875,4.79375,0.2,4.278125,11.77533333,64.678125,34.33,2152.86,1938.97,1818.45,4.1,0.4,6.9,2,0.6,4.4,3.3,5
72,2022.3.14,5205,9540,0,0,0,0,0,0,0,41.46,2199.38,1988.04,1892.42,4.1,0.4,6.9,2,0.6,4.4,3.3,5
73,2022.3.15,5187,9403,8.88,15.799375,3.51875,0,9.28,19.48,69.655,38,2215.11,2000.95,1912.14,4.1,0.4,6.9,2,0.6,4.4,3.3,5
74,2022.3.16,5100,9142,11.174375,19.014375,3.68125,2.1,9.15875,19.186,62.350625,37.26,2220.36,2004.23,1917.89,4.1,0.4,6.9,2,0.6,4.4,3.3,5
75,2022.3.17,5007,9389,9.591875,12.983125,7.03,29.14375,1.511666667,5.290666667,76.506875,37.27,2220.83,2003.42,1917.35,4.1,0.4,6.9,2,0.6,4.4,3.3,5
76,2022.3.18,5007,9292,6.9775,9.209375,5.2475,35.96428571,0.724444444,5.536666667,79.008125,37.79,2219.27,2002.56,1917.35,4.1,0.4,6.9,2,0.6,4.4,3.3,5
79,2022.3.21,5021,9740,6.226875,11.7375,0.46375,15.6,6.76,16.054,57.091875,40.19,2218.15,2002.12,1917.82,4.1,0.4,6.9,2,0.6,4.4,3.3,5
80,2022.3.22,5029,9852,7.183125,12.91125,2.319375,3.075,9.50375,20.26,54.189375,33.47,2217.07,2001.84,1917.89,4.1,0.4,6.9,2,0.6,4.4,3.3,5
81,2022.3.23,5016,9945,6.2275,10.6675,2.86625,1.05,2.123333333,10.21266667,64.2875,32.54,2217.07,2001.72,1918.25,4.1,0.4,6.9,2,0.6,4.4,3.3,5
82,2022.3.24,5060,9758,8.425,14.75125,2.14125,0.4,6.50625,15.82333333,64.753125,32.82,2216.29,2001.81,1918.92,4.1,0.4,6.9,2,0.6,4.4,3.3,5
83,2022.3.25,5081,9685,12.63625,17.969375,5.643125,53.75625,2.8,10.75533333,72.265,32.71,2214.41,2001.92,1919.65,4.1,0.4,6.9,2,0.6,4.4,3.3,5
86,2022.3.28,5219,9789,7.690625,14.0175,1.5525,0,9.679375,20.95266667,46.789375,35.96,2212.79,2001.15,1920.44,4.1,0.4,6.9,2,0.6,4.4,3.3,5
87,2022.3.29,5343,9787,9.8125,17.27,2.128125,0,11.1825,23.52866667,58.2775,33.77,2214.23,2000.45,1920.32,4.1,0.4,6.9,2,0.6,4.4,3.3,5
88,2022.3.30,5343,9954,12.25,18.50875,5.3025,4.427272727,3.489333333,10.936,76.26875,36.08,2213.16,1999.44,1919.72,4.1,0.4,6.9,2,0.6,4.4,3.3,5
89,2022.3.31,5388,10909,10.235,13.829375,6.698125,6.166666667,1.814,11.18133333,76.685625,39.39,2212.71,1998.39,1918.84,4.1,0.4,6.9,2,0.6,4.4,3.3,5
90,2022.4.1,5388,10792,8.559375,14.145,3.811875,1.56,9.38625,21.64533333,60.81,44.05,2211.45,1996.11,1916.89,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
93,2022.4.4,5367,10817,10.381875,17.895,3.21,0,11.525625,24.67933333,53.950625,57.06,2202.56,1992.3,1913.19,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
94,2022.4.5,5425,10246,11.00375,17.841875,3.4225,0,8.915625,20.09666667,45.04,56.64,2198.4,1990.23,1911.37,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
95,2022.4.6,5414,10015,12.428125,19.39125,6.42375,0,10.54625,22.84933333,49.290625,60.59,2198.49,1988.81,1910.43,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
96,2022.4.7,5446,9320,12.00375,18.173125,7.033125,4.03,9.0125,22.13,52.864375,63.58,2196.66,1987.04,1909.18,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
97,2022.4.8,5468,9320,13.065,20.85875,4.554375,0,11.725625,25.06333333,49.20875,65.73,2195.6,1984.87,1907.86,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
100,2022.4.11,5366,9226,18.90125,25.403125,12.815625,2.133333333,9.0875,21.09133333,68.918125,78.24,2193.61,1980.41,1904.54,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
101,2022.4.12,5369,9146,19.01,25.6375,13.78625,2.95,8.5225,20.986,76.474375,78.27,2193.28,1976.94,1902.53,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
102,2022.4.13,5331,9013,13.1625,17.629375,10.37,46.77857143,2.01125,5.502,83.36375,84.29,2192.16,1974.21,1900.84,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
103,2022.4.14,5219,8317,11.4925,14.41125,9.495625,9.523076923,1.832727273,9.439333333,73.03375,89.84,2191,1972.26,1899.67,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
104,2022.4.15,5229,7977,11.98,18.105,7.45875,0.4,9.88625,24.33533333,59.571875,92.39,2189.53,1970.42,1899.2,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
107,2022.4.18,5256,7554,14.94125,21.750625,9.534375,0,7.36625,20.10066667,43.37625,101.63,2188.68,1968.37,1899.04,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
108,2022.4.19,5320,7540,14.971875,22.463125,8.018125,0.1,11.6125,25.38466667,45.56375,91.3,2188.22,1967.79,1899.54,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
109,2022.4.20,5320,7389,15.356875,22.924375,7.549375,0,11.971875,26.418,44.17375,87.58,2188.36,1967.3,1900.24,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
110,2022.4.21,5305,6908,13.928125,19.599375,8.613125,9.375,4.5425,14.41,60.46375,82.3,2187.84,1966.82,1900.7,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
111,2022.4.22,5326,6848,16.17125,22.121875,9.8725,0.1,8.381428571,17.25066667,71.375625,77.94,2188.06,1966.64,1901.65,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
114,2022.4.25,5326,7055,19.48375,25.3725,14.155625,46.56666667,4.515625,15.40866667,72.929375,70.26,2189.75,1967.62,1906.16,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
115,2022.4.26,5334,7084,18.386875,22.521875,15.150625,98.2,4.113636364,11.46533333,84.73375,68.23,2190.88,1968.2,1908.09,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
116,2022.4.27,5334,7084,16.23375,21.968125,11.209375,0,10.974375,25.098,53.7125,71.7,2192.19,1968.74,1909.86,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
117,2022.4.28,5287,7020,15.838125,22.599375,9.724375,1.033333333,8.131875,21.95866667,60.89125,74.58,2192.74,1969.9,1911.81,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
118,2022.4.29,5348,7024,11.995625,15.71125,9.3175,60.8875,2.195625,12.69,77.77625,76.46,2194.31,1971.64,1915.25,4.8,1.9,7.8,2,0.7,4.5,3.6,5.7
121,2022.5.2,5419,7064,12.954375,19.43375,7.34,4.116666667,10.168125,24.348,57.42125,83.25,2151.88,1944.63,1904.81,5.4,4.2,8.3,2,0.7,5.1,4.1,6.7
122,2022.5.3,5419,6587,13.52125,20.67125,5.781875,0,12.20625,27.89466667,55.941875,72.96,2145.89,1937.99,1903.93,5.4,4.2,8.3,2,0.7,5.1,4.1,6.7
123,2022.5.4,5455,6856,16.469375,24.1625,8.4725,0,12.413125,27.68533333,53.17125,69.45,2144.83,1934.47,1906.66,5.4,4.2,8.3,2,0.7,5.1,4.1,6.7
125,2022.5.6,5431,6635,19.071875,25.715,12.149375,0,11.208125,25.96866667,67.415,54.31,2144.13,1931.69,1914.2,5.4,4.2,8.3,2,0.7,5.1,4.1,6.7
128,2022.5.9,5423,6685,16.07875,22.230625,11.255625,3.471428571,9.06625,24.18933333,61.0525,75.21,2153.33,1938.49,1931.32,5.4,4.2,8.3,2,0.7,5.1,4.1,6.7
129,2022.5.10,5391,6686,16.96,23.356875,10.71875,0.866666667,7.78125,24.32,53.840625,62.08,2164.2,1943.79,1941.46,5.4,4.2,8.3,2,0.7,5.1,4.1,6.7
130,2022.5.11,5370,6626,18.69625,24.10875,13.92375,1.966666667,6.175,21.01333333,62.08125,65.6,2165.94,1946.11,1947.59,5.4,4.2,8.3,2,0.7,5.1,4.1,6.7
